student_id,age,background,attendance,marks_avg,test_score,assignment_completion,login_frequency,study_hours_per_week,class_participation,doubt_sessions_attended,risk_score,risk_level,dropout
STU000069,30,Urban,84,52,76,91,23,18,High,13,0.2757,Low,0
STU000070,25,Rural,81,66,61,64,12,8,Low,9,0.4704,Medium,0
STU000071,20,Rural,49,42,58,65,21,19,Low,7,0.5274,Medium,1
STU000072,18,Rural,54,51,48,85,18,15,Medium,6,0.4318,Medium,0
STU000073,21,Rural,80,69,89,90,27,26,High,10,0.2153,Low,0
STU000074,19,Rural,77,69,22,83,12,16,Medium,9,0.3093,Medium,1
STU000075,25,Urban,59,48,52,50,24,17,Low,6,0.5449,Medium,1
STU000076,21,Urban,74,74,51,72,19,24,High,3,0.2422,Low,0
STU000077,19,Urban,72,36,42,80,15,9,Low,6,0.5627,Medium,1
STU000078,23,Urban,83,71,71,65,26,21,High,2,0.2491,Low,0
STU000079,23,Urban,91,79,63,66,20,25,High,18,0.2063,Low,0
STU000080,27,Urban,85,59,78,93,23,25,Medium,7,0.2591,Low,0
STU000081,21,Rural,54,58,60,63,11,17,Low,10,0.5007,Medium,1
STU000082,23,Urban,92,70,70,76,18,20,High,11,0.2449,Low,1
STU000083,30,Urban,35,34,26,39,11,1,Low,0,0.6999,Medium,1
STU000084,19,Urban,75,78,61,100,24,18,High,11,0.1924,Low,0
STU000085,27,Urban,80,54,49,50,14,22,High,0,0.3875,Medium,0
STU000086,29,Urban,38,29,18,35,2,8,Low,5,0.7017,High,1
STU000087,19,Rural,45,19,28,28,6,3,Low,1,0.7068,High,0
STU000088,27,Urban,81,61,84,79,19,20,Medium,16,0.3406,Medium,1
STU000089,21,Urban,68,62,75,78,18,21,High,14,0.2995,Low,0
STU000090,25,Urban,71,40,50,72,15,11,Low,7,0.4512,Medium,0
STU000091,24,Rural,82,65,68,88,22,22,High,6,0.2278,Low,0
STU000092,29,Rural,81,85,76,64,24,17,Medium,12,0.234,Low,0
STU000093,26,Urban,41,30,15,43,12,5,Low,2,0.7132,High,1
STU000094,25,Rural,96,85,74,69,18,26,Low,4,0.2385,Low,0
STU000095,22,Rural,82,78,90,82,21,15,High,10,0.2092,Low,0
STU000096,30,Urban,45,53,40,83,18,11,Medium,5,0.4597,Medium,0
STU000097,19,Urban,81,91,43,82,22,24,High,7,0.2019,Low,0
STU000098,22,Urban,22,45,13,24,13,4,Medium,3,0.7043,High,1
STU000099,25,Urban,77,48,64,65,25,24,Low,16,0.3899,Medium,1
STU000100,27,Rural,86,90,54,69,22,21,Medium,1,0.2197,Low,0
STU000101,26,Urban,83,89,72,75,19,18,High,13,0.2333,Low,0
STU000102,29,Urban,65,49,67,64,14,18,Medium,0,0.4148,Medium,0
STU000103,29,Urban,89,82,59,95,16,20,High,14,0.1843,Low,0
STU000104,29,Urban,42,31,50,36,8,5,Low,1,0.692,Medium,1
STU000105,30,Rural,45,59,32,23,23,10,High,9,0.4728,Medium,1
STU000106,26,Urban,80,52,53,23,17,9,Low,5,0.5386,Medium,1
STU000107,30,Urban,84,65,61,100,19,27,Medium,15,0.2801,Low,0
STU000108,30,Rural,64,49,51,69,14,8,Low,10,0.5303,Medium,0
STU000109,18,Urban,77,67,50,55,17,12,Medium,6,0.4309,Medium,1
STU000110,26,Urban,79,63,73,85,16,13,Medium,6,0.3902,Medium,0
STU000111,24,Urban,69,72,54,85,20,3,High,0,0.3487,Medium,0
STU000112,26,Urban,38,18,23,36,3,7,High,0,0.6507,Medium,1
STU000113,25,Urban,93,59,76,78,30,20,Medium,18,0.2919,Low,0
STU000114,18,Urban,40,45,40,59,6,12,Low,6,0.6356,Medium,1
STU000115,29,Urban,45,21,20,11,7,4,Low,3,0.7279,High,1
STU000116,25,Urban,83,80,70,81,23,23,Medium,6,0.2921,Low,0
STU000117,25,Urban,83,54,67,77,26,22,High,9,0.2358,Low,0
STU000118,28,Rural,54,54,50,71,12,17,High,0,0.3958,Medium,0
STU000119,20,Urban,31,26,45,44,6,11,Low,5,0.6849,Medium,1
STU000120,18,Rural,47,21,19,46,4,12,High,2,0.5844,Medium,1
STU000121,25,Rural,75,92,73,66,17,20,Low,1,0.3711,Medium,0
STU000122,20,Urban,12,19,22,44,4,5,Medium,0,0.7984,High,1
STU000123,20,Rural,65,40,67,49,13,5,Medium,6,0.5765,Medium,1
STU000124,18,Rural,72,96,69,80,15,17,Medium,10,0.2804,Low,1
STU000125,28,Urban,24,21,49,32,9,9,Low,3,0.7465,High,1
STU000126,22,Rural,32,29,22,60,9,7,Low,4,0.6863,Medium,1
STU000127,27,Urban,90,73,71,82,25,19,High,16,0.2015,Low,0
STU000128,24,Urban,90,62,50,62,15,22,Medium,6,0.2826,Low,0
STU000129,27,Rural,98,73,71,75,22,25,Medium,5,0.229,Low,0
STU000130,26,Urban,77,78,61,79,23,21,Low,5,0.3238,Medium,0
STU000131,29,Rural,54,44,45,62,14,11,Low,8,0.5116,Medium,1
STU000132,24,Rural,82,21,6,41,1,8,Medium,2,0.5749,Medium,1
STU000133,26,Rural,69,75,69,83,17,22,Medium,8,0.3201,Medium,1
STU000134,25,Urban,48,17,36,44,11,1,Low,2,0.6821,Medium,1
STU000135,29,Rural,79,62,62,73,23,26,Medium,12,0.25,Low,0
STU000136,19,Urban,87,61,84,86,26,22,High,9,0.1875,Low,0
STU000137,18,Urban,81,63,71,77,25,22,High,6,0.2556,Low,0
STU000138,24,Urban,95,73,66,85,22,20,High,10,0.2159,Low,0
STU000139,24,Rural,69,54,63,75,11,10,Medium,1,0.4538,Medium,1
STU000140,25,Urban,91,82,62,72,21,31,High,9,0.1617,Low,0
STU000141,22,Urban,79,47,52,63,16,6,Low,8,0.4798,Medium,0
STU000142,20,Urban,82,77,75,79,23,26,Low,6,0.2836,Low,0
STU000143,29,Urban,25,36,37,48,12,6,High,3,0.6052,Medium,0
STU000144,25,Rural,69,92,84,72,27,30,Medium,6,0.2142,Low,0
STU000145,23,Urban,100,62,53,66,8,17,High,3,0.2337,Low,0
STU000146,28,Urban,91,66,66,81,16,24,High,4,0.2689,Low,0
STU000147,20,Rural,86,68,70,74,27,19,Medium,15,0.2093,Low,0
STU000148,18,Urban,73,64,54,80,22,23,Medium,9,0.3757,Medium,0
STU000149,20,Rural,95,85,55,80,30,22,High,7,0.0967,Low,0
STU000150,22,Urban,82,69,63,80,25,18,High,4,0.2721,Low,0
STU000151,20,Urban,83,71,83,80,25,24,High,7,0.2612,Low,0
STU000152,18,Urban,100,67,75,71,28,20,High,13,0.2151,Low,0
STU000153,22,Urban,62,40,53,66,12,15,Low,6,0.5203,Medium,0
STU000154,27,Rural,91,70,69,95,29,30,High,2,0.1445,Low,0
STU000155,24,Urban,72,66,81,89,24,23,High,11,0.1852,Low,0
STU000156,24,Rural,82,63,81,78,23,22,Medium,5,0.2209,Low,0
STU000157,28,Urban,79,76,65,75,30,26,Medium,6,0.2559,Low,0
STU000158,26,Urban,80,77,70,99,16,23,High,6,0.1386,Low,0
STU000159,27,Rural,23,26,9,36,0,4,Low,1,0.8025,High,1
STU000160,27,Rural,86,70,65,97,16,19,Low,11,0.3201,Medium,0
STU000161,29,Rural,84,73,69,80,24,16,Medium,7,0.2718,Low,0
STU000162,30,Rural,82,59,58,74,19,22,High,7,0.3037,Medium,0
STU000163,20,Urban,80,70,74,84,26,21,Medium,9,0.2595,Low,0
STU000164,24,Rural,90,72,63,88,30,14,Medium,6,0.2279,Low,0
STU000165,18,Urban,47,38,49,44,11,18,Low,4,0.5865,Medium,1
STU000166,21,Urban,63,48,42,67,11,16,Low,6,0.5794,Medium,0
STU000167,30,Rural,100,59,85,71,29,20,High,17,0.2201,Low,0
STU000168,21,Urban,42,84,34,32,5,3,High,0,0.501,Medium,1
STU000169,22,Rural,87,69,70,84,26,29,High,10,0.1849,Low,0
STU000170,24,Urban,69,77,75,77,24,24,Medium,14,0.2862,Low,0
STU000171,24,Urban,32,51,31,7,4,7,Medium,2,0.6754,Medium,1
STU000172,30,Urban,97,69,78,82,23,23,Medium,9,0.2526,Low,1
STU000173,28,Urban,63,78,63,62,7,17,Low,4,0.4404,Medium,1
STU000174,30,Urban,4,20,27,30,11,2,Low,3,0.8575,High,1
STU000175,21,Urban,45,38,22,28,11,6,Medium,4,0.6375,Medium,1
STU000176,30,Rural,79,38,42,45,9,12,Medium,4,0.5159,Medium,0
STU000177,24,Urban,29,31,33,15,9,5,Medium,0,0.759,High,0
STU000178,28,Urban,78,83,60,85,22,26,Low,14,0.2759,Low,0
STU000179,20,Rural,84,70,70,88,22,21,High,11,0.1506,Low,0
STU000180,23,Rural,34,20,35,44,1,4,Medium,0,0.6952,Medium,0
STU000181,29,Urban,60,41,22,58,9,6,Low,0,0.5274,Medium,0
STU000182,19,Rural,91,43,36,59,10,13,Medium,9,0.3665,Medium,1
STU000183,27,Urban,92,52,86,78,19,19,Medium,9,0.3072,Medium,0
STU000184,30,Urban,17,23,56,32,0,11,High,1,0.7688,High,1
STU000185,26,Rural,75,75,86,55,26,18,Medium,6,0.3272,Medium,0
STU000186,22,Rural,87,50,42,91,10,20,Low,9,0.4253,Medium,0
STU000187,23,Urban,86,70,63,98,19,20,High,5,0.1783,Low,0
STU000188,29,Urban,79,75,64,80,21,26,Low,14,0.3006,Medium,0
STU000189,29,Urban,80,64,67,79,22,14,High,12,0.283,Low,0
STU000190,29,Urban,47,71,34,64,20,11,High,8,0.3599,Medium,0
STU000191,29,Rural,36,45,38,34,1,9,Low,2,0.7487,High,1
STU000192,21,Urban,81,80,78,80,21,22,High,14,0.2414,Low,0
STU000193,28,Urban,58,40,62,69,24,15,Medium,3,0.4973,Medium,0
STU000194,27,Urban,49,24,27,35,2,4,Low,2,0.7056,High,1
STU000195,24,Rural,23,33,50,25,4,5,Low,2,0.7868,High,1
STU000196,29,Urban,59,54,51,58,18,14,Low,8,0.4911,Medium,1
STU000197,26,Rural,25,38,27,42,2,3,Medium,0,0.6682,Medium,0
STU000198,24,Rural,27,35,22,36,9,8,Low,3,0.7341,High,1
STU000199,18,Urban,78,58,59,72,14,17,Low,12,0.3739,Medium,0
STU000200,18,Rural,21,56,36,26,9,3,Medium,1,0.686,Medium,1
STU000201,26,Rural,96,71,59,77,29,19,High,7,0.1918,Low,0
STU000202,28,Urban,91,57,75,82,19,24,High,12,0.1812,Low,0
STU000203,26,Urban,85,70,97,87,25,28,Medium,6,0.2433,Low,0
STU000204,21,Rural,10,35,41,22,10,3,Medium,5,0.7535,High,1
STU000205,30,Urban,87,79,84,79,10,14,High,10,0.2918,Low,0
STU000206,26,Urban,70,61,70,76,27,15,High,8,0.3036,Medium,0
STU000207,20,Urban,84,71,73,100,25,19,High,14,0.2483,Low,0
STU000208,24,Rural,92,81,71,79,18,23,High,7,0.1744,Low,0
STU000209,23,Urban,30,14,38,41,10,5,Medium,4,0.6929,Medium,1
STU000210,25,Urban,31,14,40,45,8,5,Medium,6,0.7388,High,1
STU000211,28,Urban,72,37,32,34,6,4,Low,4,0.6657,Medium,1
STU000212,26,Rural,77,75,56,94,26,25,Medium,10,0.2993,Low,1
STU000213,22,Urban,89,89,69,85,29,14,High,8,0.1399,Low,0
STU000214,18,Urban,86,61,74,75,22,26,High,12,0.2855,Low,1
STU000215,20,Urban,54,58,63,74,9,7,High,10,0.4244,Medium,0
STU000216,27,Urban,74,70,64,79,28,24,High,9,0.2272,Low,0
STU000217,29,Urban,19,43,38,46,11,11,Low,1,0.7639,High,1
STU000218,25,Rural,33,36,24,39,8,0,Medium,5,0.6922,Medium,1
STU000219,28,Rural,96,70,76,73,21,20,High,13,0.192,Low,0
STU000220,23,Rural,62,54,41,44,15,19,Medium,9,0.4851,Medium,0
STU000221,25,Urban,68,63,39,86,22,21,High,11,0.2866,Low,0
STU000222,26,Urban,88,59,71,77,23,17,High,11,0.2408,Low,0
STU000223,21,Rural,72,68,48,53,16,7,Medium,1,0.4115,Medium,0
STU000224,18,Urban,43,41,11,36,4,4,Low,7,0.685,Medium,1
STU000225,18,Rural,24,19,15,48,12,6,Low,4,0.7501,High,1
STU000226,27,Rural,84,68,67,91,18,17,High,10,0.2456,Low,0
STU000227,21,Rural,93,86,66,73,19,32,High,7,0.1391,Low,0
STU000228,29,Urban,86,39,53,55,15,18,Medium,0,0.3729,Medium,0
STU000229,24,Urban,85,90,90,74,17,18,High,9,0.1831,Low,0
STU000230,19,Urban,80,100,53,77,26,24,Medium,5,0.1852,Low,0
STU000231,20,Rural,42,40,39,39,19,18,Medium,7,0.5676,Medium,1
STU000232,18,Rural,80,26,47,59,21,18,Low,10,0.5192,Medium,0
STU000233,22,Rural,56,64,56,56,14,9,Medium,8,0.4892,Medium,0
STU000234,18,Urban,30,12,39,39,9,5,Medium,4,0.7692,High,1
STU000235,25,Rural,90,80,61,77,28,12,Medium,9,0.2463,Low,0
STU000236,18,Rural,69,41,73,65,14,16,High,4,0.4105,Medium,0
STU000237,28,Urban,82,62,80,96,25,26,Medium,4,0.2457,Low,0
STU000238,18,Urban,26,30,40,32,6,10,Low,4,0.77,High,1
STU000239,19,Rural,53,21,42,20,7,12,Medium,2,0.6307,Medium,1
STU000240,19,Urban,47,40,22,40,10,5,Low,7,0.6878,Medium,1
STU000241,29,Urban,72,64,62,83,24,10,Medium,14,0.3811,Medium,0
STU000242,23,Urban,100,61,71,60,21,15,High,8,0.2346,Low,0
STU000243,24,Rural,76,75,58,84,13,28,Medium,3,0.2509,Low,0
STU000244,22,Urban,92,65,64,87,19,22,High,11,0.2027,Low,0
STU000245,18,Urban,88,69,78,65,18,25,High,10,0.2707,Low,0
STU000246,18,Rural,86,69,94,88,20,31,High,8,0.2681,Low,0
STU000247,20,Rural,42,49,48,38,18,12,High,4,0.4983,Medium,1
STU000248,19,Rural,84,68,73,59,28,28,Medium,13,0.3025,Medium,1
STU000249,22,Urban,80,77,82,75,12,23,High,10,0.243,Low,0
STU000250,29,Urban,96,83,81,60,17,22,High,18,0.1791,Low,0
STU000251,27,Rural,76,79,55,72,21,19,Medium,15,0.3314,Medium,1
STU000252,23,Rural,60,43,41,38,15,22,Medium,4,0.4945,Medium,0
STU000253,24,Urban,85,70,77,81,28,24,High,12,0.2072,Low,0
STU000254,21,Urban,88,62,73,72,26,26,Medium,7,0.2908,Low,0
STU000255,24,Urban,76,43,51,62,18,14,Low,8,0.4785,Medium,0
STU000256,28,Rural,81,82,64,78,22,23,Low,16,0.3163,Medium,0
STU000257,25,Urban,43,38,41,52,10,0,Low,3,0.6879,Medium,1
STU000258,28,Urban,77,85,67,85,16,22,High,9,0.1986,Low,0
STU000259,18,Urban,90,71,84,82,17,20,Medium,10,0.2542,Low,0
STU000260,23,Urban,25,38,33,32,9,6,Low,1,0.7005,High,1
STU000261,25,Urban,93,42,57,94,28,23,Medium,6,0.253,Low,1
STU000262,22,Rural,54,55,49,38,9,12,Low,6,0.649,Medium,1
STU000263,21,Rural,82,29,64,56,20,7,Low,18,0.5462,Medium,1
STU000264,19,Urban,83,66,73,80,20,26,High,16,0.2456,Low,0
STU000265,23,Urban,62,44,42,49,11,15,Low,12,0.537,Medium,1
STU000266,23,Urban,44,68,63,73,13,17,High,1,0.3794,Medium,0
STU000267,28,Rural,49,49,33,0,13,7,Low,1,0.6957,Medium,1
STU000268,18,Urban,75,28,48,41,10,16,Medium,5,0.5172,Medium,0
STU000269,26,Rural,74,72,65,89,28,27,Low,19,0.2258,Low,0
STU000270,29,Rural,40,21,31,22,5,7,High,3,0.6574,Medium,1
STU000271,28,Urban,81,63,75,85,19,13,Medium,6,0.3696,Medium,0
STU000272,23,Rural,25,37,27,7,7,1,Medium,0,0.736,High,1
STU000273,30,Rural,45,73,33,15,3,9,Low,2,0.6953,Medium,0
STU000274,20,Urban,60,60,55,78,8,9,High,7,0.3983,Medium,0
STU000275,21,Urban,83,79,60,61,26,21,High,17,0.2592,Low,0
STU000276,29,Urban,55,72,75,36,3,12,Low,7,0.5583,Medium,1
STU000277,28,Urban,35,24,7,51,2,7,Low,1,0.7626,High,1
STU000278,21,Urban,71,51,35,61,17,10,Medium,0,0.372,Medium,1
STU000279,20,Urban,33,17,20,44,6,3,Low,1,0.8243,High,1
STU000280,27,Urban,81,72,61,80,22,19,High,11,0.2366,Low,0
STU000281,20,Urban,67,72,71,81,27,29,Medium,11,0.3347,Medium,0
STU000282,20,Rural,82,83,62,83,18,21,High,9,0.1669,Low,0
STU000283,21,Rural,69,69,65,77,22,24,High,7,0.2535,Low,0
STU000284,24,Rural,88,65,76,91,23,25,High,11,0.2285,Low,0
STU000285,21,Urban,44,32,35,37,3,9,Low,1,0.7353,High,1
STU000286,26,Rural,82,81,65,72,20,17,Medium,8,0.2919,Low,0
STU000287,18,Rural,20,68,59,64,5,6,Medium,13,0.6233,Medium,0
STU000288,25,Urban,82,69,76,100,22,28,High,10,0.1851,Low,0
STU000289,24,Rural,66,36,20,17,6,8,Low,0,0.7005,High,1
STU000290,19,Urban,59,59,37,59,12,18,High,9,0.3824,Medium,1
STU000291,25,Rural,77,87,73,86,25,18,Medium,12,0.1958,Low,0
STU000292,18,Rural,55,77,30,43,15,12,Medium,0,0.4915,Medium,0
STU000293,28,Rural,56,64,49,56,9,16,Medium,3,0.4892,Medium,1
STU000294,29,Urban,98,75,70,78,21,24,High,5,0.1181,Low,0
STU000295,26,Urban,71,52,57,62,21,9,Medium,0,0.3871,Medium,1
STU000296,26,Urban,82,69,61,91,30,29,High,11,0.1982,Low,0
STU000297,19,Urban,63,70,79,77,23,20,High,5,0.301,Medium,0
STU000298,24,Urban,77,68,83,79,22,32,High,9,0.2089,Low,0
STU000299,27,Urban,32,39,36,42,6,7,Medium,0,0.6741,Medium,1
STU000300,20,Rural,26,36,26,30,16,9,High,5,0.6163,Medium,1
STU000301,24,Urban,25,34,38,10,10,1,High,0,0.7242,High,1
STU000302,29,Rural,95,76,69,85,25,24,High,6,0.1751,Low,0
STU000303,27,Urban,33,12,35,22,5,0,Low,4,0.7797,High,0
STU000304,26,Urban,63,46,32,63,15,5,Medium,8,0.5104,Medium,0
STU000305,21,Rural,65,83,63,78,25,31,Low,0,0.3008,Medium,0
STU000306,29,Rural,72,50,93,92,22,22,Medium,9,0.3515,Medium,0
STU000307,18,Urban,43,41,52,67,14,17,High,3,0.4581,Medium,1
STU000308,19,Rural,75,87,81,94,25,20,High,4,0.1924,Low,0
STU000309,18,Urban,60,42,38,52,12,24,Low,10,0.5519,Medium,1
STU000310,29,Rural,79,63,32,37,19,10,Medium,0,0.4271,Medium,0
STU000311,22,Rural,70,40,32,53,14,8,Medium,14,0.4865,Medium,1
STU000312,22,Urban,32,55,37,46,2,7,High,2,0.5647,Medium,0
STU000313,28,Rural,78,83,69,71,17,23,Medium,11,0.2757,Low,0
STU000314,24,Rural,79,63,87,83,26,23,High,8,0.2573,Low,0
STU000315,26,Rural,37,49,31,72,23,13,Medium,0,0.518,Medium,1
STU000316,26,Rural,59,46,77,75,17,20,Low,6,0.4981,Medium,0
STU000317,20,Rural,60,43,60,65,20,11,Low,4,0.5383,Medium,1
STU000318,20,Urban,89,81,82,73,21,18,High,15,0.2031,Low,0
STU000319,20,Urban,90,74,72,76,22,23,High,7,0.1924,Low,0
STU000320,21,Rural,47,42,65,50,13,15,Medium,7,0.5956,Medium,1
STU000321,25,Rural,91,69,68,82,25,25,Medium,16,0.2301,Low,0
STU000322,23,Urban,78,39,28,57,18,10,Medium,8,0.4687,Medium,1
STU000323,25,Urban,66,53,87,74,27,32,Medium,14,0.3134,Medium,0
STU000324,18,Rural,59,49,47,78,4,6,Low,8,0.5019,Medium,0
STU000325,25,Urban,65,54,85,69,20,19,High,11,0.354,Medium,1
STU000326,21,Urban,89,87,67,66,24,13,Low,1,0.2696,Low,0
STU000327,28,Urban,33,53,68,43,13,10,Low,0,0.6448,Medium,1
STU000328,18,Rural,71,63,32,52,11,7,Low,0,0.4676,Medium,0
STU000329,25,Urban,100,76,72,78,20,23,High,7,0.1736,Low,0
STU000330,21,Urban,79,69,61,83,24,14,High,13,0.3164,Medium,0
STU000331,23,Rural,86,73,72,70,20,23,Medium,9,0.2573,Low,0
STU000332,25,Rural,59,52,40,52,19,12,Low,0,0.4809,Medium,0
STU000333,21,Urban,48,43,45,63,14,16,Low,9,0.589,Medium,1
STU000334,20,Urban,74,79,53,83,30,22,High,14,0.1888,Low,1
STU000335,26,Urban,96,74,63,86,25,15,High,7,0.1837,Low,0
STU000336,20,Rural,93,92,64,71,22,11,Medium,15,0.2639,Low,0
STU000337,26,Urban,83,67,83,85,25,19,High,8,0.2334,Low,0
STU000338,30,Urban,92,79,55,84,24,18,Medium,6,0.2181,Low,0
STU000339,19,Rural,41,27,10,22,16,4,High,6,0.6548,Medium,1
STU000340,19,Rural,88,59,62,80,27,22,Medium,8,0.3061,Medium,0
STU000341,19,Urban,84,95,67,89,14,19,High,19,0.232,Low,0
STU000342,23,Urban,97,79,80,75,17,9,High,12,0.169,Low,0
STU000343,20,Urban,31,47,16,40,12,8,Low,5,0.6733,Medium,1
STU000344,30,Urban,41,22,18,37,6,5,High,2,0.6978,Medium,1
STU000345,26,Urban,58,41,42,76,14,14,Low,6,0.4988,Medium,0
STU000346,21,Urban,84,66,62,75,30,19,High,14,0.2051,Low,0
STU000347,18,Urban,82,76,73,71,17,24,High,15,0.2793,Low,0
STU000348,21,Urban,86,60,60,67,18,27,High,15,0.3051,Medium,0
STU000349,18,Rural,75,59,64,84,23,25,Medium,6,0.2634,Low,0
STU000350,22,Rural,75,59,72,65,21,22,Medium,8,0.3128,Medium,0
STU000351,21,Urban,41,36,26,25,3,2,Low,1,0.7644,High,1
STU000352,25,Rural,93,73,69,73,20,21,High,9,0.1989,Low,0
STU000353,25,Rural,90,67,59,76,22,22,Medium,9,0.2905,Low,0
STU000354,24,Rural,27,31,25,30,4,8,High,4,0.6889,Medium,1
STU000355,20,Urban,49,60,27,88,13,15,Medium,5,0.3698,Medium,0
STU000356,18,Urban,28,15,14,25,12,1,Low,1,0.7648,High,0
STU000357,18,Urban,10,30,7,37,7,14,Medium,2,0.7197,High,1
STU000358,29,Urban,86,61,63,91,24,24,High,11,0.1911,Low,0
STU000359,28,Urban,61,59,64,64,12,12,Medium,9,0.4517,Medium,1
STU000360,20,Rural,54,56,47,62,15,27,Low,5,0.523,Medium,0
STU000361,23,Urban,72,48,59,39,20,18,High,7,0.4038,Medium,0
STU000362,24,Rural,78,74,73,77,21,21,High,12,0.2231,Low,0
